flight.number,type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.estimatedTime,Temperature (°F) Max,Temperature (°F) Avg,Temperature (°F) Min,Dew Point (°F) Max,Dew Point (°F) Avg,Dew Point (°F) Min,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min,Wind Speed (mph) Max,Wind Speed (mph) Avg,Wind Speed (mph) Min,Pressure (in) Max,Pressure (in) Avg,Pressure (in) Min,Precipitation (in),hour,day,month,year
3159,departure,active,khi,opkc,2024-05-14 20:55:00,bah,obbi,2024-05-14t20:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,20,2,5,2024
705,departure,active,khi,opkc,2024-05-14 02:45:00,jed,oejn,2024-05-14t03:15:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,2,2,5,2024
3920,departure,active,khi,opkc,2024-05-14 04:55:00,auh,omaa,2024-05-14t04:58:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,4,2,5,2024
547,departure,active,khi,opkc,2024-05-14 17:20:00,shj,omsj,2024-05-14t17:20:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,17,2,5,2024
742,departure,active,isb,opis,2024-05-14 20:30:00,shj,omsj,2024-05-14t20:30:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,20,2,5,2024
675,departure,active,isb,opis,2024-05-14 20:55:00,khi,opkc,2024-05-14t20:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,20,2,5,2024
126,departure,active,isb,opis,2024-05-14 22:00:00,khi,opkc,2024-05-14t22:00:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,22,2,5,2024
211,departure,active,isb,opis,2024-05-14 14:10:00,dxb,omdb,2024-05-14t14:10:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,14,2,5,2024
725,departure,active,isb,opis,2024-05-14 09:50:00,ruh,oerk,2024-05-14t09:50:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,9,2,5,2024
216,departure,active,isb,opis,2024-05-14 13:25:00,dxb,omdb,2024-05-14t13:25:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,13,2,5,2024
740,departure,active,isb,opis,2024-05-14 07:25:00,shj,omsj,2024-05-14t07:25:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,7,2,5,2024
703,departure,active,isb,opis,2024-05-14 04:40:00,shj,omsj,2024-05-14t04:50:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,4,2,5,2024
5711,departure,active,isb,opis,2024-05-14 05:30:00,ist,ltfm,2024-05-14t05:40:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,5,2,5,2024
212,departure,active,isb,opis,2024-05-14 16:00:00,shj,omsj,2024-05-14t16:00:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,16,2,5,2024
2105,departure,active,isb,opis,2024-05-14 05:45:00,dxb,omdb,2024-05-14t05:45:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,5,2,5,2024
301,departure,active,isb,opis,2024-05-14 10:00:00,khi,opkc,2024-05-14t10:00:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,10,2,5,2024
348,departure,active,isb,opis,2024-05-14 11:00:00,dxb,omdb,2024-05-14t11:00:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,11,2,5,2024
946,departure,active,isb,opis,2024-05-14 19:30:00,khi,opkc,2024-05-14t19:30:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,19,2,5,2024
1876,departure,active,lhe,opla,2024-05-07 04:15:00,ruh,oerk,2024-05-07t04:15:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,4,2,5,2024
203,departure,active,lhe,opla,2024-05-07 12:25:00,dxb,omdb,2024-05-07t12:25:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,12,2,5,2024
4361,departure,active,lhe,opla,2024-05-07 00:20:00,dxb,omdb,2024-05-07t00:20:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,0,2,5,2024
500,departure,active,lhe,opla,2024-05-07 12:45:00,shj,omsj,2024-05-07t12:45:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,12,2,5,2024
735,departure,active,lhe,opla,2024-05-07 10:45:00,jed,oejn,2024-05-07t10:45:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,10,2,5,2024
739,departure,active,lhe,opla,2024-05-07 02:50:00,jed,oejn,2024-05-07t02:50:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,2,2,5,2024
346,departure,active,lhe,opla,2024-05-07 23:40:00,bkk,vtbs,2024-05-07t23:40:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,23,2,5,2024
855,departure,active,lhe,opla,2024-05-07 10:55:00,rkt,omrk,2024-05-07t10:55:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,10,2,5,2024
229,departure,active,lhe,opla,2024-05-07 12:25:00,mct,ooms,2024-05-07t12:25:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,12,2,5,2024
9148,departure,active,lhe,opla,2024-05-07 22:25:00,nng,zgnn,2024-05-07t14:07:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,22,2,5,2024
742,departure,active,lhe,opla,2024-05-07 20:35:00,dmm,oedf,2024-05-07t20:35:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,20,2,5,2024
525,departure,active,lhe,opla,2024-05-07 23:25:00,khi,opkc,2024-05-07t23:25:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,23,2,5,2024
132,departure,active,lhe,opla,2024-05-07 21:25:00,kul,wmkk,2024-05-07t21:25:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,21,2,5,2024
5048,departure,active,lhe,opla,2024-05-07 02:00:00,gyd,ubbb,2024-05-07t02:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,2,2,5,2024
745,departure,active,lhe,opla,2024-05-07 08:15:00,jed,oejn,2024-05-07t08:15:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,8,2,5,2024
6032,departure,active,lhe,opla,2024-05-07 09:55:00,doh,othh,2024-05-07t09:55:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,9,2,5,2024
713,departure,active,lhe,opla,2024-05-07 04:15:00,med,oema,2024-05-07t04:12:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,4,2,5,2024
410,departure,active,lhe,opla,2024-05-07 14:55:00,dxb,omdb,2024-05-07t14:45:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,14,2,5,2024
304,departure,active,khi,opkc,2024-05-07 14:00:00,lhe,opla,2024-05-07t14:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,14,2,5,2024
547,departure,active,khi,opkc,2024-05-07 17:20:00,shj,omsj,2024-05-07t17:20:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,17,2,5,2024
2113,departure,active,khi,opkc,2024-05-07 16:40:00,dxb,omdb,2024-05-07t16:41:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,16,2,5,2024
302,departure,active,khi,opkc,2024-05-07 08:00:00,lhe,opla,2024-05-07t08:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,8,2,5,2024
172,departure,active,khi,opkc,2024-05-07 01:00:00,jed,oejn,2024-05-07t00:45:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,1,2,5,2024
136,departure,active,khi,opkc,2024-05-07 21:00:00,kul,wmkk,2024-05-07t21:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,21,2,5,2024
601,departure,active,khi,opkc,2024-05-07 12:15:00,dxb,omdb,2024-05-07t12:15:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,12,2,5,2024
670,departure,active,khi,opkc,2024-05-07 07:00:00,isb,opis,2024-05-07t07:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,7,2,5,2024
222,departure,active,khi,opkc,2024-05-07 04:55:00,auh,omaa,2024-05-07t04:55:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,4,2,5,2024
300,departure,active,khi,opkc,2024-05-07 07:00:00,isb,opis,2024-05-07t07:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,7,2,5,2024
865,departure,active,khi,opkc,2024-05-07 12:30:00,pew,opps,2024-05-07t12:30:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,12,2,5,2024
406,departure,active,khi,opkc,2024-05-07 20:00:00,lhe,opla,2024-05-07t20:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,20,2,5,2024
740,departure,active,isb,opis,2024-05-07 07:25:00,shj,omsj,2024-05-07t07:25:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,7,2,5,2024
301,departure,active,isb,opis,2024-05-07 10:00:00,khi,opkc,2024-05-07t10:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,10,2,5,2024
6028,departure,active,isb,opis,2024-05-07 09:30:00,doh,othh,2024-05-07t09:30:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,9,2,5,2024
703,departure,active,isb,opis,2024-05-07 04:40:00,shj,omsj,2024-05-07t03:40:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,4,2,5,2024
7911,departure,active,isb,opis,2024-05-07 09:30:00,doh,othh,2024-05-07t09:30:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,9,2,5,2024
207,departure,active,isb,opis,2024-05-07 17:00:00,khi,opkc,2024-05-07t17:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,17,2,5,2024
711,departure,active,isb,opis,2024-05-07 05:30:00,ist,ltfm,2024-05-07t05:40:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,5,2,5,2024
309,departure,active,isb,opis,2024-05-07 19:00:00,khi,opkc,2024-05-07t19:00:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,19,2,5,2024
615,departure,active,isb,opis,2024-05-07 03:05:00,dxb,omdb,2024-05-07t03:05:00.000,106,93.0,79,63,55.1,45,54,31.1,13,14,4.5,0,29.0,28.9,28.9,0,3,2,5,2024
6030,departure,active,lhe,opla,2024-05-09 03:10:00,doh,othh,2024-05-09t03:10:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,3,4,5,2024
405,departure,active,lhe,opla,2024-05-09 17:00:00,khi,opkc,2024-05-09t17:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,17,4,5,2024
244,departure,cancelled,lhe,opla,2024-05-09 20:40:00,auh,omaa,2024-05-09t20:54:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,20,4,5,2024
430,departure,active,lhe,opla,2024-05-09 00:30:00,auh,omaa,2024-05-09t00:50:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,0,4,5,2024
7913,departure,active,lhe,opla,2024-05-09 03:10:00,doh,othh,2024-05-09t03:10:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,3,4,5,2024
8621,departure,active,lhe,opla,2024-05-09 10:10:00,dxb,omdb,2024-05-10t02:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,10,4,5,2024
189,departure,active,lhe,opla,2024-05-09 20:30:00,bah,obbi,2024-05-09t23:30:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,20,4,5,2024
789,departure,active,lhe,opla,2024-05-09 04:20:00,yyz,cyyz,2024-05-09t05:30:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,4,4,5,2024
202,departure,active,lhe,opla,2024-05-09 03:50:00,kwi,okkk,2024-05-09t03:50:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,3,4,5,2024
725,departure,active,lhe,opla,2024-05-09 07:35:00,ruh,oerk,2024-05-09t07:35:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,7,4,5,2024
7617,departure,active,lhe,opla,2024-05-09 03:30:00,dxb,omdb,2024-05-09t03:30:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,3,4,5,2024
243,departure,cancelled,lhe,opla,2024-05-09 09:45:00,dmm,oedf,2024-05-09t09:45:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,9,4,5,2024
737,departure,cancelled,lhe,opla,2024-05-09 20:50:00,ruh,oerk,2024-05-09t22:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,20,4,5,2024
303,departure,cancelled,lhe,opla,2024-05-09 11:00:00,khi,opkc,2024-05-09t11:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,11,4,5,2024
410,departure,active,lhe,opla,2024-05-09 14:55:00,dxb,omdb,2024-05-09t22:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,14,4,5,2024
235,departure,active,lhe,opla,2024-05-09 00:20:00,dxb,omdb,2024-05-09t00:20:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,0,4,5,2024
222,departure,active,khi,opkc,2024-05-09 04:55:00,auh,omaa,2024-05-09t04:55:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,4,4,5,2024
5578,departure,active,khi,opkc,2024-05-09 10:25:00,doh,othh,2024-05-09t10:27:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,10,4,5,2024
176,departure,active,khi,opkc,2024-05-09 02:15:00,med,oema,2024-05-09t02:15:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,2,4,5,2024
5576,departure,active,khi,opkc,2024-05-09 04:00:00,doh,othh,2024-05-09t04:03:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,4,4,5,2024
603,departure,active,khi,opkc,2024-05-09 22:55:00,dxb,omdb,2024-05-09t22:55:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,22,4,5,2024
3159,departure,active,khi,opkc,2024-05-09 20:55:00,bah,obbi,2024-05-09t20:45:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,20,4,5,2024
302,departure,cancelled,khi,opkc,2024-05-09 08:00:00,lhe,opla,2024-05-09t09:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,8,4,5,2024
536,departure,active,khi,opkc,2024-05-09 18:00:00,skz,opsk,2024-05-09t18:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,18,4,5,2024
342,departure,active,khi,opkc,2024-05-09 23:30:00,bkk,vtbs,2024-05-09t23:30:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,23,4,5,2024
945,departure,active,khi,opkc,2024-05-09 22:55:00,pek,zbaa,2024-05-09t22:44:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,22,4,5,2024
402,departure,cancelled,khi,opkc,2024-05-09 13:00:00,lhe,opla,2024-05-09t14:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,13,4,5,2024
703,departure,active,isb,opis,2024-05-09 04:40:00,shj,omsj,2024-05-09t07:05:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,4,4,5,2024
5557,departure,active,isb,opis,2024-05-09 03:35:00,doh,othh,2024-05-09t03:35:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,3,4,5,2024
3930,departure,active,isb,opis,2024-05-09 04:30:00,auh,omaa,2024-05-09t04:30:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,4,4,5,2024
232,departure,active,isb,opis,2024-05-09 04:30:00,auh,omaa,2024-05-09t04:30:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,4,4,5,2024
7917,departure,active,isb,opis,2024-05-09 03:35:00,doh,othh,2024-05-09t03:35:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,3,4,5,2024
713,departure,active,isb,opis,2024-05-09 19:10:00,med,oema,2024-05-09t19:10:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,19,4,5,2024
251,departure,active,isb,opis,2024-05-09 09:00:00,kdu,opsd,2024-05-09t10:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,9,4,5,2024
771,departure,active,isb,opis,2024-05-09 06:35:00,bah,obbi,2024-05-09t06:35:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,6,4,5,2024
301,departure,active,isb,opis,2024-05-09 10:00:00,khi,opkc,2024-05-09t10:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,10,4,5,2024
210,departure,active,isb,opis,2024-05-09 02:55:00,dxb,omdb,2024-05-09t02:45:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,2,4,5,2024
261,departure,active,isb,opis,2024-05-09 22:50:00,auh,omaa,2024-05-09t22:50:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,22,4,5,2024
369,departure,active,isb,opis,2024-05-09 16:00:00,khi,opkc,2024-05-09t16:18:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,16,4,5,2024
245,departure,active,isb,opis,2024-05-09 20:00:00,dmm,oedf,2024-05-09t21:00:00.000,104,91.6,81,68,64.8,59,62,42.5,27,20,8.2,0,28.9,28.9,28.8,0,20,4,5,2024
739,departure,active,lhe,opla,2024-05-12 02:50:00,jed,oejn,2024-05-12t02:50:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,2,7,5,2024
235,departure,active,lhe,opla,2024-05-12 00:20:00,dxb,omdb,2024-05-12t00:20:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,0,7,5,2024
9410,departure,active,lhe,opla,2024-05-12 23:40:00,bkk,vtbs,2024-05-12t23:40:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,23,7,5,2024
715,departure,active,lhe,opla,2024-05-12 05:45:00,ist,ltfm,2024-05-12t05:55:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,5,7,5,2024
7915,departure,active,lhe,opla,2024-05-12 09:55:00,doh,othh,2024-05-12t09:55:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,9,7,5,2024
242,departure,active,lhe,opla,2024-05-12 04:35:00,auh,omaa,2024-05-12t05:05:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,4,7,5,2024
3836,departure,active,lhe,opla,2024-05-12 09:55:00,doh,othh,2024-05-12t09:55:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,9,7,5,2024
6173,departure,active,lhe,opla,2024-05-12 09:55:00,doh,othh,2024-05-12t09:55:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,9,7,5,2024
7617,departure,active,lhe,opla,2024-05-12 03:30:00,dxb,omdb,2024-05-12t04:17:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,3,7,5,2024
318,departure,active,lhe,opla,2024-05-12 04:15:00,ruh,oerk,2024-05-12t04:15:00.000,93,84.7,77,72,65.8,61,83,54.2,34,23,10.5,3,29.1,29.1,28.9,0,4,7,5,2024
